"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript React", "TypeScript", "pip requirements", "Python", "HTML", "comment", "blank", "total"
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/.eslintrc.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/.prettierrc.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/README.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 28, 60
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/electron.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 94
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/package-lock.json", "JSON", 0, 0, 37076, 0, 0, 0, 0, 0, 0, 0, 1, 37077
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/package.json", "JSON", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 107
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 1, 25
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/analysis.py", "Python", 0, 0, 0, 0, 0, 0, 0, 437, 0, 15, 64, 516
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/feature.py", "Python", 0, 0, 0, 0, 0, 0, 0, 327, 0, 18, 44, 389
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/graph_maker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/hierarchy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 58, 0, 22, 11, 91
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/map.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 8, 29
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/math_operation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/objective.py", "Python", 0, 0, 0, 0, 0, 0, 0, 123, 0, 4, 14, 141
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/raster_transform.py", "Python", 0, 0, 0, 0, 0, 0, 0, 77, 0, 8, 30, 115
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/study_area.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 8, 38
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/analysis/suitability_calculator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 231, 0, 8, 30, 269
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/01.home/01.what's in the docs.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 9, 23
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/02.getting started/01.what is ssanto.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 14, 34
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/02.getting started/02.how ssanto works.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 32, 75
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/01.file explorer.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 21
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/02.parameters.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 13, 27
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/03.study area.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 19
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/04.nbs system.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 18
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/05.objectives hierarchy.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 22, 93
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/server/data/guide/03.analysis/06.value scaling.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 19, 64
